timestamp,symbol,expiry,atm,type,strike,oi,delta_oi,score
2025-11-12 09:26:03,NIFTY,18-Nov-2025,25850,Resistance,26000,94046,5402,102149
2025-11-12 09:26:03,NIFTY,18-Nov-2025,25850,Resistance,25800,70539,5980,79509
2025-11-12 09:26:03,NIFTY,18-Nov-2025,25850,Resistance,25900,59195,7388,70277
2025-11-12 09:27:04,NIFTY,18-Nov-2025,25800,Support,25800,90670,0,90670
2025-11-12 09:27:04,NIFTY,18-Nov-2025,25800,Support,25600,63065,0,63065
2025-11-12 09:27:04,NIFTY,18-Nov-2025,25800,Support,25700,62365,0,62365
2025-11-12 09:27:04,NIFTY,18-Nov-2025,25800,Resistance,26000,94046,0,94046
2025-11-12 09:27:04,NIFTY,18-Nov-2025,25800,Resistance,25800,70539,0,70539
2025-11-12 09:27:04,NIFTY,18-Nov-2025,25800,Resistance,25900,59195,0,59195
2025-11-12 09:28:05,NIFTY,18-Nov-2025,25850,Support,25800,90670,0,90670
2025-11-12 09:28:05,NIFTY,18-Nov-2025,25850,Support,25600,63065,0,63065
2025-11-12 09:28:05,NIFTY,18-Nov-2025,25850,Support,25700,62365,0,62365
2025-11-12 09:28:05,NIFTY,18-Nov-2025,25850,Resistance,26000,94046,0,94046
2025-11-12 09:28:05,NIFTY,18-Nov-2025,25850,Resistance,25800,70539,0,70539
2025-11-12 09:28:05,NIFTY,18-Nov-2025,25850,Resistance,25900,59195,0,59195
2025-11-12 09:29:06,NIFTY,18-Nov-2025,25850,Support,25800,104134,13464,124330
2025-11-12 09:29:06,NIFTY,18-Nov-2025,25850,Support,25600,66423,3358,71460
2025-11-12 09:29:06,NIFTY,18-Nov-2025,25850,Support,25700,64829,2464,68525
2025-11-12 09:29:06,NIFTY,18-Nov-2025,25850,Resistance,26000,92590,-1456,92590
2025-11-12 09:29:06,NIFTY,18-Nov-2025,25850,Resistance,25800,71717,1178,73484
2025-11-12 09:29:06,NIFTY,18-Nov-2025,25850,Resistance,25900,60397,1202,62200
2025-11-12 09:30:07,NIFTY,18-Nov-2025,25800,Support,25800,104134,0,104134
2025-11-12 09:30:07,NIFTY,18-Nov-2025,25800,Support,25600,66423,0,66423
2025-11-12 09:30:07,NIFTY,18-Nov-2025,25800,Support,25700,64829,0,64829
2025-11-12 09:30:07,NIFTY,18-Nov-2025,25800,Resistance,26000,92590,0,92590
2025-11-12 09:30:07,NIFTY,18-Nov-2025,25800,Resistance,25800,71717,0,71717
2025-11-12 09:30:07,NIFTY,18-Nov-2025,25800,Resistance,25900,60397,0,60397
2025-11-12 09:31:08,NIFTY,18-Nov-2025,25800,Support,25800,104134,0,104134
2025-11-12 09:31:08,NIFTY,18-Nov-2025,25800,Support,25600,66423,0,66423
2025-11-12 09:31:08,NIFTY,18-Nov-2025,25800,Support,25700,64829,0,64829
2025-11-12 09:31:08,NIFTY,18-Nov-2025,25800,Resistance,26000,92590,0,92590
2025-11-12 09:31:08,NIFTY,18-Nov-2025,25800,Resistance,25800,71717,0,71717
2025-11-12 09:31:08,NIFTY,18-Nov-2025,25800,Resistance,25900,60397,0,60397
2025-11-12 09:32:09,NIFTY,18-Nov-2025,25800,Support,25800,116533,12399,135131
2025-11-12 09:32:09,NIFTY,18-Nov-2025,25800,Support,25700,67068,2239,70426
2025-11-12 09:32:09,NIFTY,18-Nov-2025,25800,Support,25600,67952,1529,70245
2025-11-12 09:32:09,NIFTY,18-Nov-2025,25800,Resistance,26000,99966,7376,111030
2025-11-12 09:32:09,NIFTY,18-Nov-2025,25800,Resistance,25800,77975,6258,87362
2025-11-12 09:32:09,NIFTY,18-Nov-2025,25800,Resistance,25900,66385,5988,75367
2025-11-12 09:33:10,NIFTY,18-Nov-2025,25800,Support,25800,116533,0,116533
2025-11-12 09:33:10,NIFTY,18-Nov-2025,25800,Support,25600,67952,0,67952
2025-11-12 09:33:10,NIFTY,18-Nov-2025,25800,Support,25700,67068,0,67068
2025-11-12 09:33:10,NIFTY,18-Nov-2025,25800,Resistance,26000,99966,0,99966
2025-11-12 09:33:10,NIFTY,18-Nov-2025,25800,Resistance,25800,77975,0,77975
2025-11-12 09:33:10,NIFTY,18-Nov-2025,25800,Resistance,25900,66385,0,66385
2025-11-12 09:34:11,NIFTY,18-Nov-2025,25800,Support,25800,116533,0,116533
2025-11-12 09:34:11,NIFTY,18-Nov-2025,25800,Support,25600,67952,0,67952
2025-11-12 09:34:11,NIFTY,18-Nov-2025,25800,Support,25700,67068,0,67068
2025-11-12 09:34:11,NIFTY,18-Nov-2025,25800,Resistance,26000,99966,0,99966
2025-11-12 09:34:11,NIFTY,18-Nov-2025,25800,Resistance,25800,77975,0,77975
2025-11-12 09:34:11,NIFTY,18-Nov-2025,25800,Resistance,25900,66385,0,66385
2025-11-12 09:35:12,NIFTY,18-Nov-2025,25800,Support,25800,126118,9585,140495
2025-11-12 09:35:12,NIFTY,18-Nov-2025,25800,Support,25700,71778,4710,78843
2025-11-12 09:35:12,NIFTY,18-Nov-2025,25800,Support,25600,68321,369,68874
2025-11-12 09:35:12,NIFTY,18-Nov-2025,25800,Resistance,26000,106723,6757,116858
2025-11-12 09:35:12,NIFTY,18-Nov-2025,25800,Resistance,25800,82839,4864,90135
2025-11-12 09:35:12,NIFTY,18-Nov-2025,25800,Resistance,25900,70941,4556,77775
2025-11-12 09:36:13,NIFTY,18-Nov-2025,25800,Support,25800,126118,0,126118
2025-11-12 09:36:13,NIFTY,18-Nov-2025,25800,Support,25700,71778,0,71778
2025-11-12 09:36:13,NIFTY,18-Nov-2025,25800,Support,25600,68321,0,68321
2025-11-12 09:36:13,NIFTY,18-Nov-2025,25800,Resistance,26000,106723,0,106723
2025-11-12 09:36:13,NIFTY,18-Nov-2025,25800,Resistance,25800,82839,0,82839
2025-11-12 09:36:13,NIFTY,18-Nov-2025,25800,Resistance,25900,70941,0,70941
2025-11-12 09:37:14,NIFTY,18-Nov-2025,25800,Support,25800,126118,0,126118
2025-11-12 09:37:14,NIFTY,18-Nov-2025,25800,Support,25700,71778,0,71778
2025-11-12 09:37:14,NIFTY,18-Nov-2025,25800,Support,25600,68321,0,68321
2025-11-12 09:37:14,NIFTY,18-Nov-2025,25800,Resistance,26000,106723,0,106723
2025-11-12 09:37:14,NIFTY,18-Nov-2025,25800,Resistance,25800,82839,0,82839
2025-11-12 09:37:14,NIFTY,18-Nov-2025,25800,Resistance,25900,70941,0,70941
2025-11-12 09:38:15,NIFTY,18-Nov-2025,25800,Support,25800,126118,0,126118
2025-11-12 09:38:15,NIFTY,18-Nov-2025,25800,Support,25700,71778,0,71778
2025-11-12 09:38:15,NIFTY,18-Nov-2025,25800,Support,25600,68321,0,68321
2025-11-12 09:38:15,NIFTY,18-Nov-2025,25800,Resistance,26000,106723,0,106723
2025-11-12 09:38:15,NIFTY,18-Nov-2025,25800,Resistance,25800,82839,0,82839
2025-11-12 09:38:15,NIFTY,18-Nov-2025,25800,Resistance,25900,70941,0,70941
2025-11-12 09:39:16,NIFTY,18-Nov-2025,25800,Support,25800,124396,-1722,124396
2025-11-12 09:39:16,NIFTY,18-Nov-2025,25800,Support,25700,73598,1820,76328
2025-11-12 09:39:16,NIFTY,18-Nov-2025,25800,Support,25600,68750,429,69393
2025-11-12 09:39:16,NIFTY,18-Nov-2025,25800,Resistance,26000,112130,5407,120240
2025-11-12 09:39:16,NIFTY,18-Nov-2025,25800,Resistance,25800,93063,10224,108399
2025-11-12 09:39:16,NIFTY,18-Nov-2025,25800,Resistance,25900,76801,5860,85591
2025-11-12 09:40:17,NIFTY,18-Nov-2025,25800,Support,25800,135270,10874,151581
2025-11-12 09:40:17,NIFTY,18-Nov-2025,25800,Support,25700,78221,4623,85155
2025-11-12 09:40:17,NIFTY,18-Nov-2025,25800,Support,25600,70664,1914,73535
2025-11-12 09:40:17,NIFTY,18-Nov-2025,25800,Resistance,26000,113767,1637,116222
2025-11-12 09:40:17,NIFTY,18-Nov-2025,25800,Resistance,25800,95151,2088,98283
2025-11-12 09:40:17,NIFTY,18-Nov-2025,25800,Resistance,25900,78926,2125,82113
2025-11-12 09:41:18,NIFTY,18-Nov-2025,25800,Support,25800,135270,0,135270
2025-11-12 09:41:18,NIFTY,18-Nov-2025,25800,Support,25700,78221,0,78221
2025-11-12 09:41:18,NIFTY,18-Nov-2025,25800,Support,25600,70664,0,70664
2025-11-12 09:41:18,NIFTY,18-Nov-2025,25800,Resistance,26000,113767,0,113767
